ABAJO	DOWN
ACCIONES_DEL_HOST	HOST_ACTIONS
ACTOR_HUMANO	ACTOR_HUMAN
AHORA	NOW
ARRASTRE	DRAG
ARRIBA	UP
AbrirExterno	OpenExternal
AbrirTerminal	OpenTerminal
Accion	Action
Agentes	Agents
AjusteEscrito	SettingWritten
AjusteRestablecido	SettingRestablecido
Ajustes	Settings
AlternarCola	ToggleCola
AlternarHueco	ToggleSlot
AlternarOcultos	ToggleHidden
Ancho	Width
AnchoPersistido	WidthPersistido
Apagar	TurnOff
Aplicada	Applied
Aprobacion	Approval
AprobacionCaducada	ApprovalCaducada
AprobacionNoEntregada	ApprovalNoEntregada
Aprobar	Approve
AprobarExtension	ApproveExtension
Archivo	Archive
ArchivoInvalido	ArchiveInvalid
Arranque	Startup
Aviso	Notice
AvisoPlugin	NoticePlugin
AvisosDeDestino	DestinationNotices
Ayuda	Help
Bloques	Blocks
Borrar	Delete
Boton	Button
Buscar	Search
BuscarRapido	SearchFast
BuscarSemantica	SearchSemantic
Busqueda	Search
BusquedaRota	SearchBroken
BusquedaViva	SearchViva
CATALOGO	CATALOG
COMANDO	COMMAND
COMANDOS	COMMANDS
COMANDOS_CONTADOR	COMMANDS_COUNTER
COMPROBAR_RAIZ_CADA	CHECK_ROOT_EACH
COMPROBAR_RAIZ_CADA_SEGUNDOS	CHECK_ROOT_EVERY_SECONDS
CONTENIDO	CONTENT
CUANTAS	HOW_MANY
Cambio	Change
CancelarTask	CancelTask
Capacidades	Capabilities
Carpetas	Folders
Catalogo	Catalog
Causa	Cause
Celda	Cell
Cerrar	Close
CerrarHueco	CloseSlot
CerrarPestana	CloseTab
CiclarEncoding	CycleEncoding
CiclarPestana	CycleTab
Clase	Class
Colocacion	Placement
Columna	Column
Columnas	Columns
Comando	Command
Comparacion	Comparison
ComparacionViva	ComparisonViva
Comparar	Compare
CompararFicheros	CompareFiles
Completo	Full
ComprobarArchivo	CheckArchive
Conexion	Connection
Conexiones	Connections
ConexionesDeIrA	GoToConnections
ConfigEscrita	ConfigWritten
ConsultaSemantica	QuerySemantic
Contenido	Content
CopiarRuta	CopyPath
CopiarSumas	CopyChecksums
Corte	Cutoff
Creacion	Creation
CreadoComprobado	CreadoChecked
CrearDirectorio	CreateDirectory
CrearFichero	CreateFile
Cromo	Chrome
Cual	Which
DIGITOS	DIGITS
DaemonMuerto	DaemonDead
Decidir	Decide
Decir	Say
Degradada	Degraded
DescartarTask	DiscardTask
Desconectar	Disconnect
Desconocida	Unknown
Desconocido	Unknown
Desempaquetar	Unpack
Desenlace	Outcome
DeshacerHasta	UndoUntil
DeshacerSesion	UndoSession
Deshecha	Undone
Desinstalar	Uninstall
DesinstalarExtension	UninstallExtension
DesmarcarTodo	UnmarkAll
Destino	Dest
Dialogo	Dialog
Disposiciones	Layouts
EFECTOS	EFFECTS
ESPERA_MAX	WAIT_MAX
ESQUEMA	SCHEME
ESQUEMAS	SCHEMES
ESQUEMAS_DE_PAGINA	PAGE_SCHEMAS
EcoProvider	EchoProvider
EditarAjuste	EditSetting
EditarExterno	EditExternal
Efecto	Effect
EfectoVisor	EffectVisor
Efectos	Effects
Empaquetado	Packed
Empaquetar	Pack
EnParte	InPart
Encender	TurnOn
Encendido	On
Entera	Whole
Entrada	Entry
Entrar	Enter
EntregarSecreto	DeliverSecret
ErrorDeArranque	StartupError
EsElFichero	IsTheFile
Escribir	Write
Escritorio	Desktop
Espejo	Mirror
EspejoObjetivo	MirrorObjetivo
EspejoPermanente	MirrorPermanent
Estado	State
EstadoLinea	StateLine
EstadoMapa	StateMap
EstadoPanel	StatePanel
EstadoPreview	StatePreview
Estilo	Style
EventoDeSync	SyncEvent
ExtFoco	ExtFocus
Extensiones	Extensions
FALLO_MS	FAILURE_MS
FAMILIA	FAMILY
FILAS	ROWS
FORMA	SHAPE
FRENO_TRAS_FALLO	FRENO_AFTER_FAILURE
Fallida	Failed
Fallo	Failure
Falso	Fake
FavoritoPersistido	FavoritePersistido
FavoritoQuitado	FavoriteRemoved
FichaDePlugin	PluginTab
FicheroDeSumas	ChecksumsFile
Ficheros	Files
FijarSalto	PinJump
FilasComparadas	RowsComparadas
Firma	Signature
Foco	Focus
Fondo	Background
FormatoAjeno	FormatForeign
Formulario	Form
Girar	Rotate
Gobierno	Governance
Guardada	Saved
GuardarFavorito	SaveFavorite
GuardarPerfil	SaveProfile
HECHO_MS	DONE_MS
Hecho	Done
Hermana	Sibling
Historial	History
HistorialDeLado	SideHistory
Hueco	Slot
IMPLEMENTADOS_DIALOGO	IMPLEMENTADOS_DIALOG
INVISIBLES_OUTSIDE_DI	INVISIBLE_OUTSIDE_DI
IaInvalida	IaInvalid
IaNoDisponible	IaNoAvailable
Igualar	Equalize
ImagenColocada	ImagenPlaced
Indexado	Indexed
IndiceDeIrA	GoToIndex
Informe	Report
InformeDeSumas	ChecksumsReport
InformeDeSync	SyncReport
InstruccionIa	InstructionIa
Intercambiar	Swap
InvertirMarcas	InvertMarks
Juntar	Join
K_RUTA	K_PATH
LectorDelPty	PtyReader
Linea	Line
Lista	List
Listado	Listing
Lote	Batch
LuaDeCapa	LayerLua
MARGEN	MARGIN
MAX_EXTENSIONES	MAX_EXTENSIONS
MAX_FILAS_REGISTRO	MAX_ROWS_LOG
MAX_LINEAS	MAX_LINES
MAX_LINEAS_DIALOGO	MAX_LINES_DIALOG
MAX_LINEAS_REMOTAS	MAX_LINES_REMOTAS
MAX_NOMBRE	MAX_NAME
MAX_RAMAS	MAX_BRANCHES
MAX_REMOTO	MAX_REMOTE
MAX_RESULTADOS	MAX_RESULTS
MAX_SALIDA	MAX_OUTPUT
MAX_SALIDA_LINEAS	MAX_OUTPUT_LINES
MAX_SESIONES	MAX_SESSIONS
MINIATURA	THUMBNAIL
MINIATURA_MAX_EDGE	THUMBNAIL_MAX_EDGE
MINIMO_PARA_EL_INDICE	MINIMUM_FOR_THE_INDEX
Mando	Command
MapaContenido	MapContent
Marcar	Mark
MarcarClase	MarkClass
MarcarExtension	MarkExtension
MarcarHastaElBorde	MarkToEdge
MarcarPagina	MarkPage
MarcarPatron	MarkPatron
MarcarSubiendo	MarkSubiendo
MarcarTodo	MarkAll
MasEntradas	MoreEntries
MedidaDeMapa	MapMeasure
Mensaje	Message
Midiendo	Measuring
Miniatura	Thumbnail
MoverPestana	MoverTab
Movimiento	Move
NADA	NOTHING
NUCLEO	CORE
Nada	Nothing
NoEsta	NoThis
NoSeSabe	Unknown
Nombre	Name
Opciones	Options
Ordenar	Sort
Organizar	Organize
OrigenAPeticion	SourceAPeticion
Otro	Other
PAGINA	PAGE
PAGINA_DE_AYUDA	HELP_PAGE
PANTALLA	SCREEN
PENDIENTES_DE_GASTAR	PENDING_TO_SPEND
PESO_FINO	WEIGHT_FINO
PLAZO_APAGADO	DEADLINE_OFF
PLAZO_COMANDO	DEADLINE_COMMAND
PLAZO_IA	DEADLINE_IA
PLAZO_PANELES	DEADLINE_PANELS
PLAZO_PLUGINS	DEADLINE_PLUGINS
PLAZO_SONDEO	DEADLINE_PROBE
PLAZO_VISOR	DEADLINE_VISOR
POR_PAGINA	PER_PAGE
Pagina	Page
PaginaDeLinea	TimelinePage
PaginaDePlugin	PluginPage
Paleta	Palette
PanelContenido	PanelContent
PanelesDePlugin	PluginPanes
