dos_paneles_con_destino_aparte	two_panes_with_separate_destination
siguiente_foto_tras_resync	next_snapshot_after_resync
ejecutar_por_paleta_ack	execute_via_palette_ack
app_con_las_dos_fuentes	app_with_both_sources
no_hace_falta_avisar_de_miniatura	no_need_to_warn_about_thumbnail
abrir_lista_de_historia	open_history_list
habla_por_su_informe	speaks_through_its_report
lua_de_esta_capa	lua_of_this_layer
motivo_para_no_lanzar	reason_not_to_launch
MINIMO_PARA_EL_INDICE	MINIMUM_FOR_THE_INDEX
host_full_con_fila_de_subir	host_full_with_parent_row
MarcarHastaElBorde	MarkToEdge
arbol_grande_con_plugins	large_tree_with_plugins
dest_sigue_ahi_o_falla	dest_still_there_or_fails
dos_paneles_en_disco	two_panes_on_disk
parches_de_filas_de_todos	patches_of_rows_from_all
soltar_miniatura_si_deja_de_ser_kitty	drop_thumbnail_if_no_longer_kitty
abrir_hueco_de_kind	open_slot_of_kind
borde_de_la_segunda_columna	edge_of_the_second_column
keymap_dialogo_de_preset_con_capas	keymap_dialog_preset_with_layers
vista_elementos_de_estado	status_items_view
COMPROBAR_RAIZ_CADA_SEGUNDOS	CHECK_ROOT_EVERY_SECONDS
TaskDeLoteRechazada	BatchTaskRejected
activar_fila_de_splash	activate_splash_row
activar_sitio_del_cursor	activate_place_at_cursor
anota_desenlace_de_lote	records_batch_outcome
arbol_de_organizar_de_referencia	reference_organize_tree
barra_de_paneles_de_referencia	reference_pane_bar
cambio_de_filas_de	row_change_for
capas_con_perfil_en	layers_with_profile_in
capturar_sesion_con_marcas	capture_session_with_marks
cerrar_hueco_de_kind	close_slot_of_kind
dos_marcas_pliegan_igual	two_marks_fold_the_same
elementos_de_estado_de_referencia	reference_status_items
fila_de_estado_con_png_en_kitty_sin_miniatura	status_row_with_png_in_kitty_without_thumbnail
fila_de_estado_con_png_sin_previewer	status_row_with_png_without_previewer
host_con_capas_y_favoritos	host_with_layers_and_favorites
pedir_al_indice_de_ir_a	request_goto_from_index
pedir_catalogo_de_extensiones	request_extensions_catalog
pedir_filas_de_plugin	request_plugin_rows
pedir_informe_de_lote	request_batch_report
pedir_informe_de_sumas	request_checksums_report
pedir_informe_de_sync	request_sync_report
pedir_instruccion_ia_sobre	request_ai_instruction_about
pedir_plan_de_organizar	request_organize_plan
pedir_plantilla_de_lote	request_batch_template
pedir_volumenes_de_pie	request_footer_volumes
recongelar_hechos_de_ayuda	refreeze_help_facts
repintar_si_hace_falta	repaint_if_needed
resumen_de_lote_si_cerrado	batch_summary_if_closed
siguiente_mensaje_de_estado	next_status_message
vista_barra_de_paneles	view_pane_bar
vpath_de_ruta_nativa	vpath_from_native_path
abrir_historial_de_lado	open_side_history
abrir_volumenes_de_lado	open_side_volumes
activar_ajuste_por_raton	activate_setting_by_mouse
activar_fila_de_asistente	activate_wizard_row
activar_perfil_de_fila	activate_profile_from_row
algo_se_queda_las_teclas	something_keeps_the_keys
aplicar_catalogo_de_extensiones	apply_extensions_catalog
aplicar_catalogo_de_plugins	apply_plugins_catalog
aplicar_evento_de_sync	apply_sync_event
aplicar_filas_de_plugin	apply_plugin_rows
aplicar_pagina_de_plugin	apply_plugin_page
aplicar_plan_de_lote	apply_batch_plan
aplicar_plan_de_organizar	apply_organize_plan
aplicar_volumenes_de_pie	apply_footer_volumes
bindings_expuestos_reflejan_las_capas	exposed_bindings_reflect_the_layers
capas_multiples_se_pliegan_por_precedencia	multiple_layers_fold_by_precedence
capas_yazi_prepend_pisa_y_append_solo_anade	yazi_layers_prepend_overrides_and_append_only_adds
capturar_sesion_para_relevo	capture_session_for_handoff
cerrar_salida_de_programa	close_program_output
chord_new_normaliza_shift_en_chars_pero_no_en_otras_teclas	chord_new_normalizes_shift_in_chars_but_not_in_other_keys
clave_de_aprobacion_perdida	lost_approval_key
columnas_con_tamano_exacto	columns_with_exact_size
comando_desconocido_es_error_de_carga	unknown_command_is_a_load_error
confirmar_valor_de_ajuste	confirm_setting_value
donde_volver_tras_desconectar	where_to_return_after_disconnecting
dos_paneles_con_destino_aparte_inner	two_panes_with_separate_destination_inner
efecto_en_panel_enfocado	effect_on_focused_pane
el_contexto_especifico_pisa_al_global_por_secuencia_exacta	specific_context_overrides_global_by_exact_sequence
el_contexto_viewer_se_fusiona_para_su_pantalla	the_viewer_context_merges_for_its_screen
el_menu_se_reabre_por_donde_iba	the_menu_reopens_where_it_left_off
elegir_del_selector_en_otro	choose_from_selector_into_another
elegir_fila_del_selector	choose_row_from_selector
elemento_de_estado_en	status_item_at
es_grupo_de_paneles	is_a_group_of_panes
esc_cancela_la_secuencia_pendiente	esc_cancels_the_pending_sequence
esc_dentro_de_secuencia_es_error_de_carga	esc_inside_sequence_is_a_load_error
fijar_filas_del_visor	pin_viewer_rows
fijar_punto_de_salto	set_jump_point
formas_vacias_de_reparto	empty_layout_shapes
fuera_de_alcance_en_caliente	out_of_scope_hot
guardar_ancho_de_columna	save_column_width
hijo_del_mapa_en	child_of_the_map_at
la_especificidad_de_contexto_prevalece_sobre_la_capa	context_specificity_prevails_over_the_layer
lanzar_plan_de_plantilla	launch_template_plan
linea_tiene_el_foco	the_line_has_focus
lista_equivocada_en_una_capa_es_error	wrong_list_in_a_layer_is_an_error
lua_de_keymap_de_proyecto_se_descarta_con_aviso	project_keymap_lua_is_discarded_with_a_warning
lua_prefijado_pasa_la_validacion_de_comandos	prefixed_lua_passes_command_validation
no_hace_falta_avisar	no_need_to_warn
no_hace_falta_avisar_de_imagen	no_need_to_warn_about_image
pedir_destino_al_escritorio	request_destination_from_the_desktop
pedir_pagina_de_plugin	request_plugin_page
pedir_valor_de_ajuste	request_setting_value
por_encima_de_los_paneles	above_the_panes
prefijo_ambiguo_es_error_de_carga	ambiguous_prefix_is_a_load_error
procesos_tienen_el_foco	processes_have_focus
pulsa_indicador_de_sesion	clicks_session_indicator
pulsar_barra_de_paneles	click_pane_bar
pulsar_boton_de_disposicion	click_layout_button
pulsar_elemento_de_estado	click_status_item
raton_en_la_ayuda	mouse_in_help
rechaza_por_solo_lectura	rejects_for_read_only
resuelve_secuencias_multi_tecla	resolves_multi_key_sequences
secciones_de_ajustes_de_referencia	reference_settings_sections
siguiente_parche_de_tablero	next_dashboard_patch
sitios_tienen_el_foco	places_have_focus
tecla_en_revision_organizar	key_in_organize_review
tocar_campo_de_dialogo	touch_dialog_field
vista_botones_de_disposicion	view_layout_buttons
a_treinta_columnas_se_pinta_un_solo_pane_a_ancho_completo	at_thirty_columns_a_single_pane_paints_at_full_width
abajo_entra_por_encima_de_la_barra_de_estado	below_enters_above_the_status_bar
abrir_el_preview_no_se_lleva_el_teclado	opening_the_preview_does_not_take_the_keyboard
abrir_el_sidebar_no_toca_los_lados	opening_the_sidebar_does_not_touch_the_sides
abrir_una_pestana_desde_un_panel_suelto_lo_envuelve	opening_a_tab_from_a_loose_pane_wraps_it
abrirlo_dos_veces_no_acuna_dos_huecos	opening_it_twice_does_not_nest_two_slots
agarrar_antes_del_separador_no_salta_una_celda	grabbing_before_the_separator_does_not_skip_a_cell
agarrar_el_borde_no_selecciona_una_fila	grabbing_the_edge_does_not_select_a_row
age_sin_passphrase_es_error_si_existe_el_fichero	age_without_passphrase_is_an_error_if_the_file_exists
agent_es_anonimo_sin_secreto	agent_is_anonymous_without_a_secret
agente_ausente_es_error_claro	missing_agent_is_a_clear_error
agrandar_mueve_un_hijo_fijo_en_celdas	growing_moves_a_fixed_child_in_cells
agrandar_sube_el_peso_hasta_el_tope	growing_raises_the_weight_up_to_the_cap
agrandar_un_panel_le_da_sitio_y_al_otro_se_lo_quita	growing_one_pane_gives_it_room_and_takes_it_from_the_other
ai_rename_confirm_vacio_no_devuelve_y_deja_diagnostico	ai_rename_confirm_empty_does_not_return_and_leaves_a_diagnostic
ai_rename_instruccion_conserva_texto_tras_fallo	ai_rename_instruction_keeps_text_after_failure
al_bajar_el_tope_la_rama_de_delante_pierde_su_punta_lejana	lowering_the_cap_makes_the_forward_branch_lose_its_far_tip
al_cerrar_la_ultima_pestana_el_pane_recupera_su_fila	closing_the_last_tab_the_pane_recovers_its_row
al_terminar_una_copia_se_relista_el_destino	finishing_a_copy_relists_the_destination
al_tomar_el_relevo_no_se_pisa_lo_que_guardaba_la_otra	taking_the_handoff_does_not_overwrite_what_the_other_saved
al_tomar_la_propiedad_se_vuelve_a_escribir	taking_ownership_writes_again
allow_con_cert_invalido_falla_cerrado	allow_with_invalid_cert_fails_closed
allow_degrada_a_plano_si_no_hay_tls	allow_degrades_to_plaintext_if_there_is_no_tls
alt_solo_abre_y_pliega_el_menu	alt_alone_opens_and_folds_the_menu
alt_solo_no_abre_el_menu_encima_de_un_dialogo	alt_alone_does_not_open_the_menu_over_a_dialog
ambiguous_mutation_aplica_el_efecto_y_falla_transitorio	ambiguous_mutation_applies_the_effect_and_fails_transiently
ambiguous_mutation_cubre_las_cuatro_mutaciones	ambiguous_mutation_covers_the_four_mutations
anadir_un_favorito_lo_pinta_tambien_en_el_sidebar	adding_a_favorite_also_paints_it_in_the_sidebar
apartar_una_pestana_no_cambia_la_que_se_esta_mirando	detaching_a_tab_does_not_change_the_one_being_viewed
aprobacion_aprueba_con_approve_y_deniega_con_deny_cancel	approval_approves_with_approve_and_denies_with_deny_cancel
aprobar_pregunta_y_enumera_las_capabilities	approving_asks_and_lists_the_capabilities
archive_limits_ultimo_gana_y_proyecto_no_los_toca	archive_limits_last_one_wins_and_project_does_not_touch_them
arrastrar_el_borde_de_un_fijo_lo_escribe_en_celdas	dragging_the_edge_of_a_fixed_one_writes_it_in_cells
arrastrar_el_borde_de_una_columna_cambia_su_ancho_y_pide_guardarlo	dragging_a_column_edge_changes_its_width_and_asks_to_save_it
arrastrar_el_borde_mueve_la_frontera_entre_los_panes	dragging_the_edge_moves_the_boundary_between_the_panes
arrastrar_el_borde_reparte_la_pareja	dragging_the_edge_splits_the_pair
arrastrar_el_borde_reparte_los_dos_huecos	dragging_the_edge_splits_the_two_slots
arrastrar_el_titulo_mueve_el_panel	dragging_the_title_moves_the_pane
