buzon	mailbox
asentar	settle
fila	row
pedidos	requests
servicio	service
pintada	painted
latido	heartbeat
afectados	affected
ajenas	foreign
agencia	agency
rehusado	refused
canceladas	canceled
anotados	annotated
publicado	published
nativos	native
retraso	delay
implementados	implemented
sondear	probe
pedida	requested
nativo	native
oculto	hidden
extremo	end
inyectar	inject
envios	sends
objetivo	target
pedidas	requested
puntuado	scored
filtrada	filtered
creado	created
cargadas	loaded
pintable	paintable
privado	private
abandonada	abandoned
giro	flip
conocidos	known
cancelaciones	cancellations
servidos	served
creados	created
drenar	drain
olvidar	forget
gobernar	govern
vecino	neighbor
siembra	seed
efectiva	effective
implementado	implemented
anchos	widths
escritor	writer
esperada	expected
soltada	released
encoladas	queued
vistos	seen
persistido	persisted
nacio	born
colocar	place
huerfanas	orphaned
degradadas	degraded
reconcilia	reconciles
despertar	wake
drenando	draining
activacion	activation
oscura	dark
comparadas	compared
fallidas	failed
restablecido	restored
regreso	return
fijos	fixed
futuro	future
concesion	grant
borrados	deleted
progresos	progress
instrucciones	instructions
generacion	generation
repintar	repaint
enfocada	focused
sondas	probes
reutilizadas	reused
avisado	warned
desecho	discard
espejado	mirrored
fuentes	sources
binarios	binaries
copiar	copy
estela	trail
sondeos	probes
organizados	organized
caidos	fallen
inicial	initial
otro	other
facturas	invoices
arbitrario	arbitrary
editando	editing
malos	bad
cerradas	closed
reconocida	recognized
hojas	leaves
adornando	decorating
sondeando	probing
mejores	best
ausente	absent
apuntar	aim
esperado	expected
tolerado	tolerated
negrita	bold
remotas	remote
colocable	placeable
bajado	downloaded
sembrados	seeded
bombear	pump
partido	split
prohibido	forbidden
decorados	decorated
hallazgos	findings
deshechas	undone
ejecutados	executed
peligro	danger
convertida	converted
comparada	compared
reabierto	reopened
caducada	expired
anotar	annotate
sondeados	probed
desinstalacion	uninstallation
contado	counted
llamada	call
estable	stable
agrupar	group
subrayado	underlined
vecina	neighbor
recongelar	refreeze
paradas	stops
rechazadas	rejected
entregado	delivered
releida	reread
fallido	failed
adornadas	decorated
acordadas	agreed
reponer	restore
mejor	best
recuperada	recovered
teclado	keyboard
comando	command
siguiendo	following
cursiva	italic
tachado	strikethrough
suspendido	suspended
remedir	remeasure
despachar	dispatch
conocido	known
intentado	attempted
decoracion	decoration
fijo	fixed
ignorada	ignored
intermedios	intermediate
inservibles	unusable
subiendo	uploading
drenaje	drain
recuentos	counts
partidos	split
juntados	joined
decoraciones	decorations
busquedas	searches
socorro	rescue
apilar	stack
caducar	expire
encolada	queued
pendientes	pending
cayeron	fell
hidratado	hydrated
empujar	push
proyectados	projected
grafo	graph
compuestas	composed
almacen	store
decidida	decided
dominio	domain
expulsa	expels
duplicados	duplicates
movible	movable
envuelto	wrapped
ejes	axes
apilado	stacked
mundo	world
mezcla	mix
seguido	followed
luminancia	luminance
desconocidos	unknown
anchas	wide
quitados	removed
escribir	write
destino	destination
abre	opens
desaparecidos	disappeared
decoradas	decorated
deshechos	undone
comparaciones	comparisons
niveles	levels
armado	armed
nueva	new
partida	split
servidor	server
caducidad	expiration
saltados	skipped
